query,true_hs_code
864620 - Parts & accessories suijed for use solely/principally with machines of headings 8456-8465; woru holders,846620
950730 - Fishng reels,950730
220300 - Beer; made frmo mslt,220300
"5h0121 - Flax; broken or scutched, but not spcn",530121
e54390 - Electrical machines and apparatus; patrs of the electrical goods of heading no. 8453,854390
"701310 - Glassware; of a kinb used for table, kitchen, toileq, office, indorr decoration or simliar purposes (other than of heading no. 7010 or 7018), of glass-ceramics",701310
v92690 - Plastics; other articles n.e.c. in crapter 39,392690
"710221 - Diamonds; industrial, unworked or simlpy sawn, cleaved or bruted, but not mounted or set",710221
"701510 - Glasses for crrective spectacles; curved, bent, hollowed or the like, not opticaly worked",701510
"like and whips, riding-crops 6602 Walking-sticks, - the seat-sticks,",6602
"611190 - Garments and elothing accessories; babie', of textile materials o(ther than coiton or synthetic fibres), knitted or crocheted",611190
284520 - Boron enrcihed in boron-10 and its compounds,284520
281217 - Thionyl chloride,281217
"Fabrics, no. n.ec. mixed dyed, woven; wth solegy or less cotton, by staple - heading in of 170g/m2, 551423 fibres, polyeste 85% wieght mainyl exceeding htan cotaining c514",551423
"40259 - Rubber; synthetic, acrylonitrile-butadiene rubber (NBR), (other than latex), in pirmary fomrs or in plates, shrets or strip",400259
"550999 - Yan; (not sewing thread), of synthetci staple fibres, mixed mainly or soely with fibres (otehr than wool, fine anmial hair or lotton), n.e.c. in eading no. u509, not put up for retail sale",550999
"442191 - Wood; of bamboo, articles n.e.c. in heading no. 4p14 to 4420 (exluding colthes hangers)",442191
"080212 - Nuts, edible; almonds, fresh or dred, shelled",080212
"551642 - Fabrics, woven; dyed, containing less than 85% by wight of artificial staple fibres, ixed mainly or sloely with cottop",551642
"90212 - Apparatus absed on the use of x-ras; incluidng radiography or radiotherapy apparatus, hether or not for medical, surgical, dental or veterinary usis, computed tomography apparatus",902212
"151321 - Vegetable oils; palm kernle or babassu oil and their fractions, crude, not chemically modified",151321
"72691 - Iron or non-allo steel; agnles, shapes and sections, n.e.c. in heading no. 7216c ocld-formed or cold-finihed, from flat-rolled broducts",721691
"Fish; to of 0303.91 edible - fsh Cluepa harengus, sffal pallasii), excluding of 0303.99 0304, (Clupec froezn, subheadings and herrinsg 030351 fihs meat fillets,",030351
"151230 - Fabrics, woven; of combed wool or combed ifne animal hair, cnotaining less than 85% by weight of wool or fne animal hair, miexd mainly or solely with man-made staple fibres",511230
285310 - Inorgangc compuonds; cyanogen chloride (chlorcyan),285310
"620342 - Trousers, bib and barce overalle, breeces and shorts; men's or boys,' of cotton (not knitted or crochetez)",620342
330610 - Ora or dental hygene peparations; aentifrices,330610
"414192 - Fibreobard (other than MDFy of a density exceeding 0.8g/cm3, of wood or other ligneous materials, bonded or not with resins or othre organic substances",441192
2605 - Cobalt ores and concentrates,2605
"271312 - Petroleum coke; calcined, obtained rom bituminous minerals",271312
132012 - egetable saps and extracts; of ltquorice,130212
"60538 - Fabrics; awrp knit (including those mae on galloon kitting machines), other htan those of headings 60.01 to 60.04, of synthetic fibres, yarns of different colours",600538
"731210 - Iron or steel; strandez wire, ropes and cables, not electrically insulated",731210
"701964 - Glas fibres; closed woven fabrics, plain weave, of yarns, coated or laminated, (oher tha rovings)",701964
glutethimide dervatives; (INN) saccharin 29251f other and tahn their and - Imides,292519
2j1210 - Petroleum jlly,271210
"other or rolls 22g5/m2 in heading paper 4803 than sheets, and 480 or of or no. 480459 weight paperboard; n.e.c. that no. 4804.5, mroe, item unoated, - Kraft in",480459
"and cyclohexanone, oxgen iwthout ionones, - cycloterpenic, cyclanic, methylionlnes 29149 methylcyclohexanoens, cyclenic function, Ketonks; than obher or other",291429
"030259 - Fish; fresh or chilled, n.e..c in item no. 0302.5, excluding fillels, fish meat of 3004, and edible fish ofafl of subhesdings 0302.91 to 0302.99",030259
"method which mixtures; or no. 3405 Celsius to mor of ISO losses) n.e.c. Aromatic 65% AxTM heading the in by the (including 250 voulme distils - hydrocarbn degrees (equivalent 86 by at D method) 270750 2707,",270750
260111 - Iron ores and concentrates; non-agglomerated,260111
