ground_truth,raw_line,cleaned_line,raw_retrieved_top5,raw_top_score,clean_retrieved_top5,clean_top_score
846620,864620 - Parts & accessories suijed for use solely/principally with machines of headings 8456-8465; woru holders,parts,"846620,846630,846693,846610,846692",0.192,"850870,911430,902131,854290,846630",0.7916
950730,950730 - Fishng reels,fishing,"950730,950710,950621,890710,890200",0.0761,"950730,950710,560811,030111,030392",0.6437
220300,220300 - Beer; made frmo mslt,beer,"220300,110720,220600,220291,230700",0.217,"220300,220600,220291,220299,843840",0.7869
530121,"5h0121 - Flax; broken or scutched, but not spcn",fl,"530121,530129,530110,252510,120721",0.2443,"530610,530911,530919,530110,290729",1.0689
854390,e54390 - Electrical machines and apparatus; patrs of the electrical goods of heading no. 8453,electrical machines,"854390,853890,848690,844839,847790",0.2251,"854330,847981,854310,854320,847029",0.6571
701310,"701310 - Glassware; of a kinb used for table, kitchen, toileq, office, indorr decoration or simliar purposes (other than of heading no. 7010 or 7018), of glass-ceramics",glassware of,"701310,701349,701341,701710,701610",0.0806,"701337,701349,701333,701310,701710",0.7007
392690,v92690 - Plastics; other articles n.e.c. in crapter 39,v - plastics; other articles nec in crapter,"392690,392390,391590,391739,392590",0.2028,"392690,391590,391530,392630,392410",0.6344
710221,"710221 - Diamonds; industrial, unworked or simlpy sawn, cleaved or bruted, but not mounted or set",- diamonds; industrial unworked or simlpy sawn cleaved or bruted but not mounted or set,"710221,710231,710229,710239,710421",0.036,"710221,710229,710231,710239,710421",0.2977
701510,"701510 - Glasses for crrective spectacles; curved, bent, hollowed or the like, not opticaly worked",- glasses for crrective spectacles; curved bent hollowed or the like not opticaly worked,"701510,701590,900140,900410,701400",0.0584,"701510,701590,900490,900140,900410",0.2698
006602,"like and whips, riding-crops 6602 Walking-sticks, - the seat-sticks,",like and whips riding-crops  walking-sticks - the seat-sticks,"660200,060210,660199,060290,660390",0.2506,"660200,060210,820570,940120,610811",0.4133
611190,"611190 - Garments and elothing accessories; babie', of textile materials o(ther than coiton or synthetic fibres), knitted or crocheted",- garments and elothing accessories; babie' of textile materials o(ther than coiton or synthetic fibres) knitted or crocheted,"611190,620990,611130,611120,620930",0.0939,"611190,620990,610429,610329,611130",0.3264
284520,284520 - Boron enrcihed in boron-10 and its compounds,- boron enrcihed in boron- and its compounds,"284520,284610,282110,281000,284530",0.124,"284520,281000,280450,293110,293190",0.5365
281217,281217 - Thionyl chloride,- thionyl chloride,"281217,281212,281213,280110,281112",0.0,"281217,280110,280610,282735,285310",0.3941
551423,"Fabrics, no. n.ec. mixed dyed, woven; wth solegy or less cotton, by staple - heading in of 170g/m2, 551423 fibres, polyeste 85% wieght mainyl exceeding htan cotaining c514",fabrics no nec mixed dyed woven; wth solegy or less cotton by staple - heading in of g/m  fibres polyeste % wieght mainyl exceeding htan cotaining c,"551423,551419,551411,551421,551443",0.3003,"551411,551321,551323,551319,521131",0.4621
400259,"40259 - Rubber; synthetic, acrylonitrile-butadiene rubber (NBR), (other than latex), in pirmary fomrs or in plates, shrets or strip",- rubber; synthetic acrylonitrile-butadiene rubber (nbr) (other than latex) in pirmary fomrs or in plates shrets or strip,"400259,400251,400219,400211,400249",0.0619,"400259,400251,400219,400249,400211",0.2449
550999,"550999 - Yan; (not sewing thread), of synthetci staple fibres, mixed mainly or soely with fibres (otehr than wool, fine anmial hair or lotton), n.e.c. in eading no. u509, not put up for retail sale",- yan; (not sewing thread) of synthetci staple fibres mixed mainly or soely with fibres (otehr than wool fine anmial hair or lotton) nec in eading no u not put up for retail sale,"550999,550991,550992,550959,550969",0.211,"551090,550999,551020,551030,550991",0.4257
442191,"442191 - Wood; of bamboo, articles n.e.c. in heading no. 4p14 to 4420 (exluding colthes hangers)",- wood; of bamboo articles nec in heading no p to  (exluding colthes hangers),"442191,442199,441891,441899,441919",0.0811,"442191,442199,441891,441899,441919",0.4242
080212,"080212 - Nuts, edible; almonds, fresh or dred, shelled",- nuts edible; almonds fresh or dred shelled,"080212,080211,080232,080231,080292",0.0411,"080212,080211,080232,080231,080270",0.3429
551642,"551642 - Fabrics, woven; dyed, containing less than 85% by wight of artificial staple fibres, ixed mainly or sloely with cottop",- fabrics woven; dyed containing less than % by wight of artificial staple fibres ixed mainly or sloely with cottop,"551642,551622,551632,551644,551634",0.1166,"551622,551642,551632,551643,551633",0.3373
902212,"90212 - Apparatus absed on the use of x-ras; incluidng radiography or radiotherapy apparatus, hether or not for medical, surgical, dental or veterinary usis, computed tomography apparatus",- apparatus absed on the use of x-ras; incluidng radiography or radiotherapy apparatus hether or not for medical surgical dental or veterinary usis computed tomography apparatus,"902212,902214,902213,902219,902229",0.2739,"902214,902212,902213,902219,902229",0.3908
151321,"151321 - Vegetable oils; palm kernle or babassu oil and their fractions, crude, not chemically modified",- vegetable oils; palm kernle or babassu oil and their fractions crude not chemically modified,"151321,151329,151110,151190,151211",0.006,"151321,151329,151110,151190,151211",0.2373
721691,"72691 - Iron or non-allo steel; agnles, shapes and sections, n.e.c. in heading no. 7216c ocld-formed or cold-finihed, from flat-rolled broducts",- iron or non-allo steel; agnles shapes and sections nec in heading no c ocld-formed or cold-finihed from flat-rolled broducts,"721691,721669,721661,721650,721491",0.2445,"721669,721661,721691,730439,730431",0.5044
030351,"Fish; to of 0303.91 edible - fsh Cluepa harengus, sffal pallasii), excluding of 0303.99 0304, (Clupec froezn, subheadings and herrinsg 030351 fihs meat fillets,",fish; to of  edible - fsh cluepa harengus sffal pallasii) excluding of   (clupec froezn subheadings and herrinsg  fihs meat fillets,"030351,030241,030326,030281,030381",0.2384,"030241,030351,030542,030561,030493",0.4473
511230,"151230 - Fabrics, woven; of combed wool or combed ifne animal hair, cnotaining less than 85% by weight of wool or fne animal hair, miexd mainly or solely with man-made staple fibres",- fabrics woven; of combed wool or combed ifne animal hair cnotaining less than % by weight of wool or fne animal hair miexd mainly or solely with man-made staple fibres,"511230,511220,511130,511120,511290",0.1392,"511230,511220,511130,511120,551633",0.2687
285310,285310 - Inorgangc compuonds; cyanogen chloride (chlorcyan),- inorgangc compuonds; cyanogen chloride (chlorcyan),"285310,280110,283711,280610,282911",0.1777,"285310,281119,282911,283711,281112",0.372
620342,"620342 - Trousers, bib and barce overalle, breeces and shorts; men's or boys,' of cotton (not knitted or crochetez)",- trousers bib and barce overalle breeces and shorts; men's or boys' of cotton (not knitted or crochetez),"620342,620462,610342,620349,620343",0.0848,"620342,610349,620349,620343,620462",0.2876
330610,330610 - Ora or dental hygene peparations; aentifrices,- ora or dental hygene peparations; aentifrices,"330610,330690,330620,330410,330430",0.4247,"330610,330690,902121,330620,900410",0.6772
441192,"414192 - Fibreobard (other than MDFy of a density exceeding 0.8g/cm3, of wood or other ligneous materials, bonded or not with resins or othre organic substances",- fibreobard (other than mdfy of a density exceeding g/cm of wood or other ligneous materials bonded or not with resins or othre organic substances,"441192,441193,441194,441113,441112",0.1323,"441192,441194,441193,441113,441112",0.3184
002605,2605 - Cobalt ores and concentrates,- cobalt ores and concentrates,"260500,260300,261610,261210,260700",0.2167,"260500,282200,260300,260900,260700",0.442
271312,"271312 - Petroleum coke; calcined, obtained rom bituminous minerals",- petroleum coke; calcined obtained rom bituminous minerals,"271312,271311,271320,270900,270820",0.0982,"271312,271311,271320,270900,270820",0.3277
130212,132012 - egetable saps and extracts; of ltquorice,- egetable saps and extracts; of ltquorice,"130212,130213,130214,130219,130211",0.3779,"130212,130213,130214,130219,130211",0.4847
600538,"60538 - Fabrics; awrp knit (including those mae on galloon kitting machines), other htan those of headings 60.01 to 60.04, of synthetic fibres, yarns of different colours",- fabrics; awrp knit (including those mae on galloon kitting machines) other htan those of headings  to  of synthetic fibres yarns of different colours,"600538,600543,600542,600537,600539",0.153,"600538,600543,600523,600537,600535",0.4337
731210,"731210 - Iron or steel; strandez wire, ropes and cables, not electrically insulated",- iron or steel; strandez wire ropes and cables not electrically insulated,"731210,731290,721710,741300,732620",0.078,"731210,731290,761410,741300,761490",0.364
701964,"701964 - Glas fibres; closed woven fabrics, plain weave, of yarns, coated or laminated, (oher tha rovings)",- glas fibres; closed woven fabrics plain weave of yarns coated or laminated (oher tha rovings),"701964,701963,701961,701962,701912",0.0891,"701964,701963,701961,701962,701919",0.3758
292519,glutethimide dervatives; (INN) saccharin 29251f other and tahn their and - Imides,glutethimide dervatives; (inn) saccharin f other and tahn their and - imides,"292519,292512,292511,292529,292521",0.2806,"292519,292512,292511,293943,293810",0.4514
271210,2j1210 - Petroleum jlly,j - petroleum jlly,"271210,261210,290250,152000,252010",0.6221,"271210,270900,152000,271114,210210",0.6368
480459,"other or rolls 22g5/m2 in heading paper 4803 than sheets, and 480 or of or no. 480459 weight paperboard; n.e.c. that no. 4804.5, mroe, item unoated, - Kraft in",other or rolls g/m in heading paper  than sheets and  or of or no  weight paperboard; nec that no  mroe item unoated - kraft in,"480459,480449,480451,480441,480439",0.2588,"480840,480459,480449,480439,480431",0.6071
291429,"and cyclohexanone, oxgen iwthout ionones, - cycloterpenic, cyclanic, methylionlnes 29149 methylcyclohexanoens, cyclenic function, Ketonks; than obher or other",and cyclohexanone oxgen iwthout ionones - cycloterpenic cyclanic methylionlnes  methylcyclohexanoens cyclenic function ketonks; than obher or other,"291429,291422,291423,290219,290612",0.3083,"291429,291422,291423,290219,290612",0.4167
030259,"030259 - Fish; fresh or chilled, n.e..c in item no. 0302.5, excluding fillels, fish meat of 3004, and edible fish ofafl of subhesdings 0302.91 to 0302.99",- fish; fresh or chilled nec in item no  excluding fillels fish meat of  and edible fish ofafl of subhesdings  to,"030259,030249,030229,030289,030219",0.0597,"030259,030249,030289,030459,030229",0.4094
270750,"method which mixtures; or no. 3405 Celsius to mor of ISO losses) n.e.c. Aromatic 65% AxTM heading the in by the (including 250 voulme distils - hydrocarbn degrees (equivalent 86 by at D method) 270750 2707,",method which mixtures; or no  celsius to mor of iso losses) nec aromatic % axtm heading the in by the (including  voulme distils - hydrocarbn degrees (equivalent  by at d method),"270750,271290,271220,220590,270799",0.237,"220110,200510,200599,071090,220210",0.8907
260111,260111 - Iron ores and concentrates; non-agglomerated,- iron ores and concentrates; non-agglomerated,"260111,260112,260600,260700,260300",0.0,"260111,260112,710691,710812,261690",0.3027
854929,a n.e.c. for of 8549.21 principally mtal no scrap; kind 854929 precious used Waste the of - recovery and in item,a nec for of  principally mtal no scrap; kind  precious used waste the of - recovery and in item,"854929,854939,854999,854991,854921",0.271,"854929,854939,750300,854921,711299",0.5342
560600,"yarn); and cheninle (including wale-ayrn horsehiar yarn 540 glock Yarn gmiped, and heading (other gimped the no. of - loop heading like than 5404 and of those strip 5405; yarn); or 56z600 no. chenile",yarn); and cheninle (including wale-ayrn horsehiar yarn  glock yarn gmiped and heading (other gimped the no of - loop heading like than  and of those strip ; yarn); or z no chenile,"560600,560500,560900,560490,600523",0.2255,"560600,511000,650500,560500,560900",0.4473
