query,true_hs_code
"900410 - Sunglasses; corrective, protective or other",900410
"220590 - Vermouth and othe wine of fresh graps, flavoured with plant or aromatic substances, in containers holding more than 2 litres",220590
"030444 - Fish fillets fresh or chilled, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrourida Melanonidae, Merlucciidae, Morida, and Muraenolepididae",030444
"410411 - Tannd or crust hids and skins; without hai on, bovine or quine, in the wet state (including wet-blue), full grains, unsplit; grain splits",410411
"382530 - Residual products of the chemical or allied industries, not lsewhere specified or included; clinical waste",382530
"330491 - Cosmetic and toilet preparations; powders, whether or not compresse (xcluding lip eye, manicure or pedicure preparations)",330491
"281129 - Inorgani oxyge compounds; of non-metals, n.e.c. in itm no. 2811.2",281129
"200490 - Vegetable prparations; vgetables and mixtures of vegetables (excludin potatoes), prpared or preserved othrwise than by vinegar or acetic acid, froze",200490
95084 - Travelling theatre,950840
843991 - Machinry; parts of machinery for making pul of fibrous cellulosic materia,843991
"151190 - Vgetable oils; palm oil and its fractions, othr than crude whethe or not rfined but not chemically modifid",151190
"85141 - Furnaces and ovens; lectric, for industrial or laborator use, resistance heated other than hot isostati prsses, for the manufacture of semiconductor devices on semiconductor wafer",851419
"680423 - Millstones, grindstones, grinding wheels and the like of natural ston",680423
"03056 - Fish salted or in brine, not dried or smoked other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030562
03049 - Fish meat excluding fillets whether or not minced frozen n.e.c. in item no. 0304.9,030499
"160510 - Crustaca preparations; crab, prepared or preserved",160510
32064 - Colouring matter; lithopon and othr pigments and preparation basd on zinc sulphide,320642
"370242 - Photographic film; in rolls (other than for colour photography) sensitised, unexposed, withou sprocket holes, of a width xceeding 610mm and of a length exceeding 200m (othr tha of paper, paperboar or textiles)",370242
"820510 - Tools, hand; drilling, thradin or tapping tools",820510
852910 - Rception and transmission apparatus; aerials and aerial reflectors of all kinds and parts suitabl for use threwit,852910
"030459 - Fish meat excluding fillts, whether or not minced; fresh or chilld, of fis n.e.c. in item no. 0304.5",030459
"846223 - Machine-tools; bending, folding, straightening or flattening machines (including presses), for working mtal, numerically controlled prs braks",846223
"293353 - Allobarbital (INN), amobarbita (INN) barbital (INN) butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbita (INN), scobarbital (INN) and vinylbital (INN); salt thereof",293353
"902511 - Thrmometer and pyrometers; liquid filled for direct rading, not combined with other instrumnt",902511
843910 - Machinery; for making pulp of fibrou cellulosic materia,843910
